brand,product_name,category,price,discount,rating,review_count,product_url
Foxtale,Barrier Repair Moisturiser,Moisturiser,895,10,4.6,1850,https://foxtale.in/products/barrier-repair-moisturiser
Foxtale,Clear Skin OG Face Wash,Cleanser,645,0,4.5,1620,https://foxtale.in/products/clear-skin-og-face-wash
Foxtale,Glow Up Vitamin C Serum,Serum,1295,15,4.7,1400,https://foxtale.in/products/glow-up-vitamin-c-serum
Foxtale,SPF 50 Sunscreen,Sunscreen,795,10,4.4,1200,https://foxtale.in/products/spf-50-sunscreen
Foxtale,Retinol Night Serum,Serum,1195,10,4.5,980,https://foxtale.in/products/retinol-night-serum
Foxtale,Hydrating Face Mist,Toner,695,0,4.3,760,https://foxtale.in/products/hydrating-face-mist
Foxtale,AHA BHA Exfoliating Toner,Toner,895,15,4.4,890,https://foxtale.in/products/aha-bha-exfoliating-toner
Foxtale,Under Eye Cream,Eye Care,1095,10,4.5,540,https://foxtale.in/products/under-eye-cream
Foxtale,Niacinamide Serum 10%,Serum,795,0,4.6,2000,https://foxtale.in/products/niacinamide-serum-10
Foxtale,Ceramide Moisturiser,Moisturiser,995,10,4.5,720,https://foxtale.in/products/ceramide-moisturiser
Foxtale,Salicylic Acid Face Wash,Cleanser,695,0,4.4,810,https://foxtale.in/products/salicylic-acid-face-wash
Foxtale,Hyaluronic Acid Serum,Serum,895,10,4.5,1100,https://foxtale.in/products/hyaluronic-acid-serum
Foxtale,Matte Finish SPF 60 Sunscreen,Sunscreen,895,15,4.3,680,https://foxtale.in/products/matte-finish-spf-60-sunscreen
Foxtale,Brightening Toner,Toner,745,0,4.2,430,https://foxtale.in/products/brightening-toner
Foxtale,Peptide Eye Serum,Eye Care,1295,10,4.6,310,https://foxtale.in/products/peptide-eye-serum
Foxtale,Ceramide Peptide Night Cream,Moisturiser,1095,15,4.4,480,https://foxtale.in/products/ceramide-peptide-night-cream
Foxtale,Alpha Arbutin 2% Serum,Serum,995,0,4.5,870,https://foxtale.in/products/alpha-arbutin-2-serum
Foxtale,Foaming Micellar Cleanser,Cleanser,745,10,4.3,390,https://foxtale.in/products/foaming-micellar-cleanser
Foxtale,SPF 50 Tinted Sunscreen,Sunscreen,995,10,4.4,520,https://foxtale.in/products/spf-50-tinted-sunscreen
Foxtale,Tranexamic Acid Serum,Serum,1195,15,4.5,640,https://foxtale.in/products/tranexamic-acid-serum
Foxtale,Collagen Boosting Serum,Serum,1495,20,4.7,280,https://foxtale.in/products/collagen-boosting-serum
Foxtale,Soothing Centella Moisturiser,Moisturiser,895,0,4.4,560,https://foxtale.in/products/soothing-centella-moisturiser
Foxtale,Gentle Daily Cleanser,Cleanser,595,0,4.3,720,https://foxtale.in/products/gentle-daily-cleanser
Foxtale,Kojic Acid Brightening Serum,Serum,1095,10,4.4,380,https://foxtale.in/products/kojic-acid-brightening-serum
Foxtale,Oil Control SPF 50 Sunscreen,Sunscreen,795,10,4.3,490,https://foxtale.in/products/oil-control-spf-50-sunscreen
Foxtale,Retinol Eye Cream,Eye Care,1195,15,4.6,180,https://foxtale.in/products/retinol-eye-cream
Foxtale,Lactic Acid Serum,Serum,895,0,4.3,420,https://foxtale.in/products/lactic-acid-serum
Foxtale,Balancing Toner with Zinc,Toner,695,0,4.2,340,https://foxtale.in/products/balancing-toner-zinc
Foxtale,Lightweight Gel Moisturiser,Moisturiser,795,0,4.4,660,https://foxtale.in/products/lightweight-gel-moisturiser
Foxtale,Micellar Cleansing Gel,Cleanser,645,10,4.2,280,https://foxtale.in/products/micellar-cleansing-gel
Foxtale,Vitamin C 15% Brightening Serum,Serum,1295,20,4.8,1750,https://foxtale.in/products/vitamin-c-15-brightening-serum
Foxtale,Pro-Aging Peptide Moisturiser,Moisturiser,1295,15,4.6,310,https://foxtale.in/products/pro-aging-peptide-moisturiser
Foxtale,Clear Pore Salicylic Toner,Toner,795,10,4.3,510,https://foxtale.in/products/clear-pore-salicylic-toner
Foxtale,Ultra Hydrating HA Moisturiser,Moisturiser,995,0,4.5,720,https://foxtale.in/products/ultra-hydrating-ha-moisturiser
Foxtale,Glycolic Acid Serum 10%,Serum,895,0,4.4,460,https://foxtale.in/products/glycolic-acid-serum-10
Foxtale,Daily Mineral SPF 40 Sunscreen,Sunscreen,895,10,4.2,360,https://foxtale.in/products/daily-mineral-spf-40-sunscreen
Foxtale,Eye Revive Gel,Eye Care,1095,10,4.4,220,https://foxtale.in/products/eye-revive-gel
Foxtale,Exfoliating AHA Face Wash,Cleanser,695,15,4.3,580,https://foxtale.in/products/exfoliating-aha-face-wash
Foxtale,Copper Peptide Serum,Serum,1495,25,4.6,180,https://foxtale.in/products/copper-peptide-serum
Foxtale,Moisturising SPF 35 Sunscreen,Sunscreen,795,0,4.1,290,https://foxtale.in/products/moisturising-spf-35-sunscreen
Foxtale,Brightening Eye Serum,Eye Care,1195,15,4.5,160,https://foxtale.in/products/brightening-eye-serum
Foxtale,BHA Toner 2%,Toner,795,10,4.4,680,https://foxtale.in/products/bha-toner-2
Foxtale,Calming Centella Cleanser,Cleanser,645,0,4.3,410,https://foxtale.in/products/calming-centella-cleanser
Foxtale,Multi-Acid Resurfacing Serum,Serum,1395,20,4.7,290,https://foxtale.in/products/multi-acid-resurfacing-serum
Foxtale,Rich Repair Night Cream,Moisturiser,1095,10,4.5,350,https://foxtale.in/products/rich-repair-night-cream
Minimalist,10% Niacinamide Face Serum,Serum,599,0,4.5,7800,https://beminimalist.co/products/10-niacinamide-face-serum
Minimalist,0.3% Retinol Serum,Serum,449,0,4.4,5600,https://beminimalist.co/products/0-3-retinol-serum
Minimalist,Salicylic Acid 2% Serum,Serum,399,0,4.5,6200,https://beminimalist.co/products/salicylic-acid-2-serum
