Category,Rank,Priority Tier,Opportunity Score,Growth Potential,Competitor Weakness,Foxtale Absence,# Brands,Total SKUs,Foxtale SKUs,Avg Price ₹,Avg Rating,Avg Discount %
Serum,1,🔴 Immediate Priority,100.0,8.721,6.899,8.67,5,88,13,756.8409090909091,4.403409090909091,10.113636363636363
Sunscreen,2,🔴 Immediate Priority,84.9,7.31,7.421,8.541,5,37,6,638.4054054054054,4.345945945945946,12.027027027027026
Moisturiser,3,🟠 High Opportunity,71.8,6.694,7.411,8.326,5,43,8,788.4418604651163,4.404651162790698,13.023255813953488
Toner,4,🟠 High Opportunity,71.2,6.817,7.121,8.457,5,35,6,500.2,4.291428571428571,7.857142857142857
Cleanser,5,🟠 High Opportunity,62.7,7.229,6.377,8.2,5,35,7,400.77142857142854,4.328571428571428,4.714285714285714
Mask,6,🟡 Monitor,41.9,3.692,8.064,10.0,3,19,0,539.7368421052631,4.294736842105263,15.526315789473685
Eye Care,7,🟡 Monitor,37.9,4.375,8.106,7.955,4,22,5,870.7272727272727,4.377272727272727,17.5
Body Care,8,🟡 Monitor,35.9,3.894,7.05,10.0,2,30,0,558.6666666666666,4.403333333333333,18.166666666666668
Lip Care,9,🟢 Defended,19.3,4.375,4.812,10.0,2,10,0,321.0,4.4799999999999995,8.0
Peel,10,🟢 Defended,7.5,3.255,5.069,10.0,2,4,0,499.0,4.125,0.0
Hair Care,11,🟢 Defended,1.0,3.37,4.154,10.0,1,11,0,525.9090909090909,4.318181818181818,12.272727272727273
